Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
N.A.,LORONG 25A GEYLANG,Shop House,"1,400,000.00","1,033.34","1,355",Sept-25,Strata,96,"14,583",Freehold,14,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"6,350,000.00","1,558.63","4,074",Sept-25,Land,144.8,"43,854",99 yrs lease commencing from 2003,07,-
N.A.,TOH AVENUE,Shop House,"2,000,000.00","1,703.94","1,174",Aug-25,Land,158.3,"12,634",Freehold,17,-
N.A.,CEYLON ROAD,Shop House,"3,850,000.00","1,371.33","2,807",Aug-25,Land,127.4,"30,220",Freehold,15,-
N.A.,CLOVER WAY,Shop House,"4,200,000.00","1,767.45","2,376",Aug-25,Land,164.2,"25,579",Freehold,20,-
N.A.,ROWELL ROAD,Shop House,"5,270,000.00","1,046.26","5,037",Aug-25,Land,97.2,"54,218",Freehold,08,-
N.A.,JOO CHIAT PLACE,Shop House,"8,550,000.00","5,482.11","1,560",Aug-25,Land,509.3,"16,788",Freehold,15,-
N.A.,TANJONG KATONG ROAD,Shop House,"5,000,000.00","1,512.34","3,306",Aug-25,Land,140.5,"35,587",Freehold,15,-
N.A.,OUTRAM ROAD,Shop House,"15,000,000.00","2,167.87","6,919",Jul-25,Land,201.4,"74,479",Freehold,03,-
N.A.,BALESTIER ROAD,Shop House,"920,000.00","1,523.11",604,Jul-25,Land,141.5,"6,502",99 yrs lease commencing from 1952,12,-
N.A.,LIANG SEAH STREET,Shop House,"14,200,000.00","1,129.14","12,576",Jul-25,Land,104.9,"135,367",999 yrs lease commencing from 1827,07,-
N.A.,JOO CHIAT ROAD,Shop House,"6,950,000.00","1,434.84","4,844",Jul-25,Land,133.3,"52,138",Freehold,15,-
N.A.,SIMS AVENUE,Shop House,"11,800,000.00","5,814.71","2,029",Jul-25,Land,540.2,"21,844",Freehold,14,-
RACE COURSE RD/OWEN RD CON AREA,TESSENSOHN ROAD,Shop House,"5,450,000.00","1,724.39","3,161",Jul-25,Land,160.2,"34,020",Freehold,08,-
N.A.,HAIG ROAD,Shop House,"1,600,000.00","2,350.86",681,Jul-25,Land,218.4,"7,326",Freehold,15,-
SEMBAWANG PARK,SEMBAWANG ROAD,Shop House,"3,250,000.00","1,721.16","1,888",Jul-25,Land,159.9,"20,325",Freehold,27,-
N.A.,JOO CHIAT ROAD,Shop House,"9,250,000.00","1,427.31","6,481",Jun-25,Land,132.6,"69,759",Freehold,15,-
N.A.,JOO CHIAT ROAD,Shop House,"7,380,000.00","1,953.67","3,778",Jun-25,Land,181.5,"40,661",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,DICKSON ROAD,Shop House,"6,000,000.00","1,202.34","4,990",Jun-25,Land,111.7,"53,715",Freehold,08,-
N.A.,JALAN BESAR,Shop House,"8,800,000.00","1,439.15","6,115",Jun-25,Land,133.7,"65,819",Freehold,08,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"6,150,000.00",969.84,"6,341",May-25,Land,90.1,"68,257",Freehold,03,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"7,700,000.00",784.7,"9,813",May-25,Land,72.9,"105,624",999 yrs lease commencing from 1828,07,-
N.A.,SERANGOON ROAD,Shop House,"7,000,000.00","1,341.19","5,219",May-25,Land,124.6,"56,180",Freehold,08,-
N.A.,NEIL ROAD,Shop House,"7,700,888.00","1,387.48","5,550",May-25,Land,128.9,"59,743",99 yrs lease commencing from 1989,02,-
N.A.,WARINGIN PARK,Shop House,"2,020,000.00","1,388.56","1,455",Apr-25,Strata,129,"15,659",Freehold,14,-
N.A.,TANJONG KATONG ROAD,Shop House,"3,800,000.00","1,431.61","2,654",Apr-25,Strata,133,"28,571",Freehold,15,-
N.A.,JOO CHIAT TERRACE,Shop House,"3,000,000.00",871.88,"3,441",Apr-25,Land,81,"37,037",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,800,000.00",764.24,"6,281",Apr-25,Land,71,"67,606",Freehold,08,-
BUKIT PASOH CONSERVATION AREA,NEIL ROAD,Shop House,"12,000,000.00","1,335.81","8,983",Apr-25,Land,124.1,"96,696",Freehold,02,-
THOMSON GARDEN ESTATE,UPPER THOMSON ROAD,Shop House,"7,390,000.00","1,909.53","3,870",Apr-25,Land,177.4,"41,657",Freehold,20,-
N.A.,UPPER THOMSON ROAD,Shop House,"7,600,000.00","1,624.29","4,679",Apr-25,Land,150.9,"50,364",Freehold,20,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"7,700,000.00","1,190.50","6,468",Apr-25,Land,110.6,"69,620",999 yrs lease commencing from 1876,08,-
N.A.,JALAN BESAR,Shop House,"10,500,000.00","1,706.09","6,154",Apr-25,Land,158.5,"66,246",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,PERAK ROAD,Shop House,"8,300,000.00","1,760.99","4,713",Apr-25,Land,163.6,"50,733",999 yrs lease commencing from 1877,08,-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"7,100,000.00","1,965.51","3,612",Mar-25,Land,182.6,"38,883",Freehold,08,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"3,000,000.00","2,468.19","1,215",Mar-25,Land,229.3,"13,083",Freehold,19,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"4,320,000.00","1,675.95","2,578",Mar-25,Land,155.7,"27,746",Freehold,19,-
N.A.,YIO CHU KANG ROAD,Shop House,"5,200,000.00","1,603.84","3,242",Mar-25,Land,149,"34,899",Freehold,19,-
KAMPONG GLAM CONSERVATION AREA,SULTAN GATE,Shop House,"19,100,000.00","1,777.14","10,748",Mar-25,Land,165.1,"115,687",Freehold,07,-
N.A.,SELEGIE ROAD,Shop House,"4,008,000.00",989.21,"4,052",Mar-25,Land,91.9,"43,613",Freehold,07,-
N.A.,JALAN JURONG KECHIL,Shop House,"4,300,000.00","1,247.55","3,447",Mar-25,Land,115.9,"37,101",Freehold,21,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"2,600,000.00","1,433.76","1,813",Mar-25,Land,133.2,"19,520",Freehold,19,-
SIN CHUAN GARDEN,WARINGIN PARK,Shop House,"1,950,000.00","1,388.56","1,404",Feb-25,Strata,129,"15,116",Freehold,14,-
N.A.,RUBY LANE,Shop House,"4,300,000.00","1,680.26","2,559",Feb-25,Land,156.1,"27,546",Freehold,12,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"5,950,000.00","1,322.90","4,498",Feb-25,Land,122.9,"48,413",Freehold,14,-
N.A.,RUBY LANE,Shop House,"3,750,000.00","1,709.32","2,194",Feb-25,Land,158.8,"23,615",Freehold,12,-
FRANKEL ESTATE,FRANKEL AVENUE,Shop House,"5,900,000.00","2,299.19","2,566",Feb-25,Land,213.6,"27,622",Freehold,15,-
N.A.,LORONG LIPUT,Shop House,"11,800,000.00","1,679.18","7,027",Feb-25,Land,156,"75,641",Freehold,10,-
PEOPLE'S GARDEN,LORONG 1 REALTY PARK,Shop House,"3,800,000.00","1,711.48","2,220",Jan-25,Strata,159,"23,899",999 yrs lease commencing from 1879,19,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"5,500,000.00","1,204.49","4,566",Jan-25,Land,111.9,"49,151",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,800,000.00",922.47,"6,287",Jan-25,Land,85.7,"67,678",999 yrs lease commencing from 1878,08,-
LITTLE INDIA CONSERVATION AREA,CAMPBELL LANE,Shop House,"3,000,000.00",818.06,"3,667",Jan-25,Land,76,"39,474",99 yrs lease commencing from 1993,08,-
LITTLE INDIA CONSERVATION AREA,CAMPBELL LANE,Shop House,"3,000,000.00",878.34,"3,416",Jan-25,Land,81.6,"36,765",99 yrs lease commencing from 1993,08,-
LITTLE INDIA CONSERVATION AREA,DESKER ROAD,Shop House,"7,930,000.00","1,060.25","7,479",Dec-24,Land,98.5,"80,508",Freehold,08,-
N.A.,JOO CHIAT ROAD,Shop House,"6,750,000.00","1,670.57","4,041",Dec-24,Land,155.2,"43,492",Freehold,15,-
N.A.,BUKIT TIMAH ROAD,Shop House,"6,600,000.00","1,427.31","4,624",Dec-24,Land,132.6,"49,774",Freehold,09,-
EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,Shop House,"10,000,000.00","1,552.17","6,443",Dec-24,Land,144.2,"69,348",Freehold,09,-
ZAMAN CENTRE,ROBERTS LANE,Shop House,"15,250,000.00","2,985.93","5,107",Dec-24,Land,277.4,"54,975",Freehold,08,-
N.A.,KOON SENG ROAD,Shop House,"4,180,000.00","1,574.77","2,654",Dec-24,Land,146.3,"28,571",Freehold,15,-
GEYLANG CONSERVATION AREA,LORONG 24A GEYLANG,Shop House,"3,510,000.00","1,582.31","2,218",Dec-24,Land,147,"23,878",Freehold,14,-
N.A.,EAST COAST ROAD,Shop House,"10,000,000.00","1,514.49","6,603",Dec-24,Land,140.7,"71,073",Freehold,15,-
SIN CHUAN GARDEN,WARINGIN PARK,Shop House,"1,950,000.00","1,442.38","1,352",Dec-24,Strata,134,"14,552",Freehold,14,-
BINJAI PARK,BINJAI PARK,Shop House,"3,850,000.00","1,334.74","2,884",Nov-24,Strata,124,"31,048",999 yrs lease commencing from 1875,21,-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"7,200,000.00","1,333.66","5,399",Nov-24,Land,123.9,"58,111",99 yrs lease commencing from 2000,02,-
N.A.,SIMS AVENUE,Shop House,"3,680,000.00","1,976.27","1,862",Nov-24,Land,183.6,"20,044",Freehold,14,-
SERANGOON GARDEN ESTATE,LICHFIELD ROAD,Shop House,"4,000,000.00","2,318.57","1,725",Nov-24,Land,215.4,"18,570",999 yrs lease commencing from 1957,19,-
N.A.,JOO CHIAT ROAD,Shop House,"5,100,000.00",949.38,"5,372",Nov-24,Land,88.2,"57,823",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,DALHOUSIE LANE,Shop House,"2,800,000.00",899.87,"3,112",Nov-24,Land,83.6,"33,493",99 yrs lease commencing from 1994,08,-
PGP BUILDING,CAMPBELL LANE/DUNLOP STREET,Shop House,"25,700,000.00","4,728.63","5,435",Nov-24,Land,439.3,"58,502",Freehold,08,-
N.A.,BALESTIER ROAD,Shop House,"8,000,000.00","2,428.36","3,294",Nov-24,Land,225.6,"35,461",Freehold,12,-
PRINSEP PLACE,PRINSEP STREET,Shop House,"4,120,000.00","2,292.73","1,797",Nov-24,Strata,213,"19,343",99 yrs lease commencing from 1997,07,01 to 05
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"6,300,000.00","1,204.49","5,230",Nov-24,Land,111.9,"56,300",Freehold,08,-
BUKIT PASOH CONSERVATION AREA,CANTONMENT ROAD,Shop House,"11,000,000.00","1,298.14","8,474",Oct-24,Land,120.6,"91,211",Freehold,02,-
N.A.,BALESTIER ROAD,Shop House,"5,500,000.00","1,977.35","2,782",Oct-24,Land,183.7,"29,940",Freehold,12,-
N.A.,CHANDER ROAD,Shop House,"5,700,000.00","1,689.95","3,373",Oct-24,Strata,157,"36,306",Freehold,08,-
GREENDALE COURT,GREENDALE AVENUE,Shop House,"2,500,000.00",861.12,"2,903",Oct-24,Strata,80,"31,250",Freehold,11,-
N.A.,GEYLANG ROAD,Shop House,"14,600,000.00","2,566.14","5,689",Oct-24,Land,238.4,"61,242",Freehold,14,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"4,100,000.00","1,226.02","3,344",Oct-24,Land,113.9,"35,996",99 yrs lease commencing from 1995,08,-
ADELPHI PARK ESTATE,JASMINE ROAD,Shop House,"4,500,000.00","1,401.47","3,211",Sept-24,Land,130.2,"34,562",Freehold,20,-
BUKIT PASOH EXTNSN CONSTN AREA,KEONG SAIK ROAD,Shop House,"8,500,000.00","1,388.56","6,121",Sept-24,Strata,129,"65,891",999 yrs lease commencing from 1967,02,-
SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,Shop House,"5,000,000.00","2,895.52","1,727",Sept-24,Land,269,"18,587",Freehold,20,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"5,700,000.00","1,289.53","4,420",Sept-24,Land,119.8,"47,579",Freehold,08,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"6,300,000.00","1,200.19","5,249",Sept-24,Land,111.5,"56,502",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"5,775,000.00",982.75,"5,876",Sept-24,Land,91.3,"63,253",Freehold,08,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"8,800,000.00","1,924.60","4,572",Sept-24,Land,178.8,"49,217",Freehold,14,-
