Location,Building Class,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
Central Area,Category 1,100 & Below,105.34,115.30,125.58,2025Q2
Central Area,Category 1,>100 - 200,106.57,121.47,144.77,2025Q2
Central Area,Category 1,>200 - 500,107.64,121.63,143.16,2025Q2
Central Area,Category 1,>500 - 1000,106.83,113.98,139.39,2025Q2
Central Area,Category 1,>1000,100.11,126.22,138.86,2025Q2
Central Area,Category 2,100 & Below,56.50,70.11,86.57,2025Q2
Central Area,Category 2,>100 - 200,67.81,83.96,95.69,2025Q2
Central Area,Category 2,>200 - 500,64.82,82.72,96.54,2025Q2
Central Area,Category 2,>500 - 1000,73.19,91.49,108.73,2025Q2
Central Area,Category 2,>1000,43.27,54.36,83.76,2025Q2
Fringe Area,Category 2,100 & Below,48.87,61.23,73.33,2025Q2
Fringe Area,Category 2,>100 - 200,45.98,65.97,78.60,2025Q2
Fringe Area,Category 2,>200 - 500,57.01,75.34,81.00,2025Q2
Fringe Area,Category 2,>500 - 1000,65.28,76.42,86.12,2025Q2
Outside Central Region,Category 2,100 & Below,52.08,56.00,64.65,2025Q2
Outside Central Region,Category 2,>100 - 200,50.96,57.05,64.59,2025Q2
Outside Central Region,Category 2,>200 - 500,57.18,64.32,84.63,2025Q2
Outside Central Region,Category 2,>500 - 1000,74.94,81.70,87.89,2025Q2
Outside Central Region,Category 2,>1000,32.35,36.87,41.38,2025Q2
Central Area,Category 1,100 & Below,101.57,117.84,126.04,2025Q1
Central Area,Category 1,>100 - 200,109.77,118.38,135.59,2025Q1
Central Area,Category 1,>200 - 500,112.48,132.41,144.57,2025Q1
Central Area,Category 1,>500 - 1000,121.90,129.71,139.66,2025Q1
Central Area,Category 1,>1000,118.29,132.94,139.93,2025Q1
Central Area,Category 2,100 & Below,55.80,68.38,86.16,2025Q1
Central Area,Category 2,>100 - 200,60.91,83.97,108.08,2025Q1
Central Area,Category 2,>200 - 500,70.11,87.18,110.87,2025Q1
Central Area,Category 2,>500 - 1000,56.19,80.32,91.19,2025Q1
Central Area,Category 2,>1000,81.39,89.34,107.64,2025Q1
Fringe Area,Category 2,100 & Below,48.60,61.32,73.32,2025Q1
Fringe Area,Category 2,>100 - 200,44.40,67.88,75.36,2025Q1
