Postal District,Floor Level,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
01,B1 & Below,30 & Below,69.89,70.20,112.70,2021Q1
01,B1 & Below,>30 - 100,65.45,87.61,98.41,2021Q1
01,B1 & Below,>100 - 300,50.33,57.70,87.20,2021Q1
01,Level 1,30 & Below,87.36,123.94,222.00,2021Q1
01,Level 1,>30 - 100,75.26,109.37,147.04,2021Q1
01,Level 1,>100 - 300,84.43,119.72,160.18,2021Q1
01,Level 2 & 3,30 & Below,82.13,100.00,119.72,2021Q1
01,Level 2 & 3,>30 - 100,51.57,70.70,100.00,2021Q1
01,Level 2 & 3,>100 - 300,46.28,67.49,92.07,2021Q1
01,Level 2 & 3,>300,46.86,64.58,71.37,2021Q1
01,Level 4 & Above,>30 - 100,68.69,72.84,75.42,2021Q1
01,B1 & Below,30 & Below,77.00,193.74,317.65,2021Q2
01,B1 & Below,>30 - 100,71.76,86.96,109.72,2021Q2
01,B1 & Below,>100 - 300,66.99,78.51,158.21,2021Q2
01,Level 1,30 & Below,121.43,184.21,270.26,2021Q2
01,Level 1,>30 - 100,80.54,133.74,180.89,2021Q2
01,Level 1,>100 - 300,87.59,100.72,118.55,2021Q2
01,Level 1,>300,97.98,116.77,143.03,2021Q2
01,Level 2 & 3,30 & Below,67.26,83.33,135.98,2021Q2
01,Level 2 & 3,>30 - 100,67.84,97.06,131.76,2021Q2
01,Level 2 & 3,>100 - 300,43.01,91.56,116.55,2021Q2
01,Level 2 & 3,>300,19.71,42.73,53.94,2021Q2
01,Level 4 & Above,30 & Below,48.92,72.91,77.78,2021Q2
01,B1 & Below,30 & Below,69.03,69.92,80.97,2021Q3
01,B1 & Below,>30 - 100,66.22,86.13,102.21,2021Q3
01,B1 & Below,>100 - 300,63.23,114.11,120.14,2021Q3
01,B1 & Below,>300,47.95,49.27,58.48,2021Q3
01,Level 1,30 & Below,114.76,171.43,231.19,2021Q3
01,Level 1,>30 - 100,80.59,122.28,198.85,2021Q3
01,Level 1,>100 - 300,67.14,81.48,133.58,2021Q3
01,Level 2 & 3,30 & Below,53.57,88.46,110.00,2021Q3
01,Level 2 & 3,>30 - 100,57.14,76.36,130.84,2021Q3
01,Level 2 & 3,>100 - 300,55.02,75.35,128.43,2021Q3
01,Level 2 & 3,>300,45.26,80.21,95.57,2021Q3
01,Level 4 & Above,>30 - 100,49.14,68.54,96.82,2021Q3
01,Level 4 & Above,>100 - 300,42.61,49.10,65.58,2021Q3
01,B1 & Below,30 & Below,88.00,172.08,250.79,2021Q4
01,B1 & Below,>30 - 100,59.23,84.19,157.46,2021Q4
01,B1 & Below,>100 - 300,148.77,217.07,301.45,2021Q4
01,B1 & Below,>300,41.04,49.27,59.20,2021Q4
01,Level 1,30 & Below,89.20,174.24,248.14,2021Q4
01,Level 1,>30 - 100,90.91,126.83,196.72,2021Q4
01,Level 1,>100 - 300,80.90,117.99,147.18,2021Q4
01,Level 1,>300,96.83,107.11,174.92,2021Q4
01,Level 2 & 3,30 & Below,52.89,80.31,112.71,2021Q4
01,Level 2 & 3,>30 - 100,53.74,74.29,90.07,2021Q4
01,Level 2 & 3,>100 - 300,42.20,66.88,111.65,2021Q4
01,Level 2 & 3,>300,56.80,70.30,81.66,2021Q4
01,Level 4 & Above,30 & Below,74.73,85.10,156.62,2021Q4
01,Level 4 & Above,>100 - 300,54.83,72.25,95.36,2021Q4
01,Level 4 & Above,>300,33.31,49.95,89.99,2021Q4
01,B1 & Below,30 & Below,71.97,82.73,249.20,2022Q1
01,B1 & Below,>30 - 100,70.49,99.06,184.69,2022Q1
01,B1 & Below,>100 - 300,73.86,175.58,232.25,2022Q1
01,B1 & Below,>300,36.56,103.42,304.11,2022Q1
01,Level 1,30 & Below,82.36,191.67,231.92,2022Q1
01,Level 1,>30 - 100,105.26,132.70,171.72,2022Q1
01,Level 1,>100 - 300,86.12,117.16,179.76,2022Q1
01,Level 1,>300,36.97,38.59,93.13,2022Q1
01,Level 2 & 3,30 & Below,60.28,81.09,127.93,2022Q1
