ID,Month Year,Project Name,Street Name,Planning Area,Type of Sale,Price,$psm,Area,Tenure,Contract Date,Property Type,Type Of Area,Floor Level,Region,Postal Sector,Postal District,,,,,,,,,
50623,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,570,000 ","$16,063 ",160,Freehold,12/30/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50624,2022-12,E9 PREMIUM,WOODLANDS INDUSTRIAL PARK E9,Woodlands,Resale,"$620,000 ","$3,563 ",174,30 yrs from 28/10/2013,12/30/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50625,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,283,000 ","$14,269 ",160,Freehold,12/30/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50626,2022-12,MANDAI CONNECTION,MANDAI LINK,Sungei Kadut,Resale,"$510,000 ","$3,248 ",157,30 yrs from 20/11/2012,12/30/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50627,2022-12,GEMINI @ SIMS,SIMS CLOSE,Geylang,Resale,"$2,950,000 ","$10,315 ",286,Freehold,12/29/2022,Multiple-User Factory,Strata,First Floor,Central Region,38,14,,,,,,,,,
50628,2022-12,GEMINI @ SIMS,SIMS CLOSE,Geylang,Resale,"$2,950,000 ","$10,315 ",286,Freehold,12/29/2022,Multiple-User Factory,Strata,First Floor,Central Region,38,14,,,,,,,,,
50629,2022-12,ECO-TECH@SUNVIEW,SUNVIEW ROAD,Boon Lay,Resale,"$400,000 ","$1,932 ",207,30 yrs from 25/01/2013,12/29/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50630,2022-12,WEST CONNECT BUILDING,BUROH STREET,Boon Lay,Resale,"$830,080 ","$3,444 ",241,30 yrs from 29/04/2013,12/29/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50631,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,638,000 ","$16,385 ",161,Freehold,12/29/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50632,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,687,000 ","$16,384 ",164,Freehold,12/29/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50633,2022-12,,TUAS SOUTH STREET 6,Tuas,Resale,"$3,900,000 ","$1,285 ",3036,22 yrs from 01/10/2013,12/29/2022,Multiple-User Factory,Land,-,West Region,63,22,,,,,,,,,
50634,2022-12,ACE@BUROH,BUROH CRESCENT,Boon Lay,Resale,"$570,000 ","$1,765 ",323,30 yrs from 22/07/2013,12/29/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50635,2022-12,TAGORE 8,TAGORE INDUSTRIAL AVENUE,Ang Mo Kio,Resale,"$1,860,000 ","$6,327 ",294,Freehold,12/29/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
50636,2022-12,CT HUB 2,LAVENDER STREET,Kallang,Resale,"$1,050,000 ","$9,813 ",107,63 yrs from 12/01/2012,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,33,12,,,,,,,,,
50637,2022-12,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$619,000 ","$3,310 ",187,30 yrs from 29/09/2014,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
50638,2022-12,PRIMZ BIZHUB,WOODLANDS CLOSE,Woodlands,Resale,"$500,000 ","$5,682 ",88,60 yrs from 27/09/2011,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
50639,2022-12,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$850,000 ","$6,115 ",139,60 yrs from 23/01/2008,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
50640,2022-12,PROXIMA@GAMBAS,GAMBAS CRESCENT,Sembawang,Resale,"$430,000 ","$2,606 ",165,30 yrs from 25/11/2014,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50641,2022-12,PROXIMA@GAMBAS,GAMBAS CRESCENT,Sembawang,Resale,"$430,000 ","$2,606 ",165,30 yrs from 25/11/2014,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50642,2022-12,UB POINT,UBI AVENUE 1,Geylang,Resale,"$579,600 ","$4,954 ",117,60 yrs from 10/03/1997,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
50643,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,297,000 ","$14,267 ",161,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50644,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,340,000 ","$14,268 ",164,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50645,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,366,000 ","$14,696 ",161,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
